team,date,AB,RS,H,HR,TB,BB,SF
ANA,20010602,29,3,5,1,8,4,0
ANA,20010603,33,7,10,4,23,2,1
ANA,20010605,33,7,11,3,20,4,0
ANA,20010606,28,1,5,0,6,3,1
ANA,20010607,32,6,7,1,10,4,0
ANA,20010608,32,1,6,1,11,3,0
ANA,20010609,32,1,7,0,8,9,0
ANA,20010610,43,6,10,2,18,1,0
ANA,20010612,35,2,10,1,13,1,0
ANA,20010613,30,0,5,0,6,3,0
ANA,20010614,35,4,11,0,14,3,1
ANA,20010615,34,2,6,1,10,3,0
ANA,20010616,35,5,12,0,14,5,0
ANA,20010617,36,6,12,1,16,4,0
ANA,20010619,36,5,10,2,19,6,0
ANA,20010620,36,4,13,0,18,6,0
ANA,20010621,36,3,8,0,12,4,0
ANA,20010622,38,8,10,1,14,3,1
ANA,20010623,28,2,2,1,5,3,0
ANA,20010624,36,3,8,0,10,4,0
ANA,20010625,40,11,16,1,21,7,1
ANA,20010626,38,1,8,0,11,2,0
ANA,20010627,31,4,7,1,12,6,1
ANA,20010628,32,3,6,2,12,6,0
ANA,20010629,35,5,9,2,16,0,0
ANA,20010630,38,3,11,1,17,1,1
ANA,20010701,34,0,8,0,8,2,0
ANA,20010702,42,0,6,0,6,0,0
ANA,20010703,29,2,4,1,7,5,0
ANA,20010704,32,0,5,0,7,0,0
ANA,20010705,36,5,9,1,14,1,0
ANA,20010706,38,6,13,2,19,6,0
ANA,20010707,42,10,16,4,33,8,1
ANA,20010708,38,11,12,5,27,2,0
ANA,20010712,28,4,4,1,8,1,0
ANA,20010713,36,2,9,2,15,0,0
ANA,20010714,35,5,9,1,15,3,2
ANA,20010715,32,1,7,0,9,1,0
ANA,20010716,35,6,15,0,19,2,1
ANA,20010717,37,8,12,2,20,6,0
ANA,20010718,36,2,11,0,14,3,1
ANA,20010719,32,2,9,0,11,2,0
ANA,20010721,42,6,13,2,24,2,1
ANA,20010722,71,10,17,0,22,10,1
ANA,20010723,36,9,11,0,15,5,0
ANA,20010724,34,9,11,3,22,3,0
ANA,20010725,32,1,6,0,6,0,0
ANA,20010726,30,5,7,4,21,4,0
ANA,20010727,35,3,6,1,10,4,0
ANA,20010728,35,6,12,3,24,7,0
ANA,20010729,33,0,7,0,8,2,0
ANA,20010731,32,4,6,1,10,4,0
ANA,20010801,35,4,9,2,17,2,0
ANA,20010802,44,13,17,2,29,4,0
ANA,20010803,34,2,7,0,9,3,0
ANA,20010804,34,4,8,1,13,1,0
ANA,20010805,34,4,9,0,12,6,2
ANA,20010806,34,3,9,0,11,1,2
ANA,20010807,33,9,15,1,22,5,1
ANA,20010808,30,1,4,0,6,1,0
ANA,20010809,30,3,7,0,7,2,1
ANA,20010810,32,8,11,1,16,4,2
ANA,20010811,42,5,14,2,22,2,0
ANA,20010812,34,6,11,3,21,4,0
ANA,20010814,38,7,10,1,15,6,0
ANA,20010815,34,1,7,1,11,5,0
ANA,20010816,40,4,11,0,16,3,0
ANA,20010817,37,7,12,0,18,2,0
ANA,20010818,30,2,3,1,6,2,0
ANA,20010819,33,4,7,2,15,3,0
ANA,20010820,31,1,7,0,7,1,1
ANA,20010821,37,5,9,2,15,4,0
ANA,20010822,35,4,11,1,15,4,0
ANA,20010823,38,6,13,1,19,3,0
ANA,20010824,38,6,13,1,19,2,0
ANA,20010825,35,5,9,0,12,4,2
ANA,20010826,35,7,10,1,17,4,1
ANA,20010828,32,4,7,1,12,4,1
ANA,20010829,31,3,7,1,13,1,0
ANA,20010830,34,1,7,1,12,5,0
ANA,20010831,34,1,8,0,9,2,0
ANA,20010901,44,11,18,2,31,6,1
ANA,20010902,34,4,7,1,12,0,1
ANA,20010904,30,1,3,1,6,2,0
ANA,20010905,29,4,9,1,13,3,2
ANA,20010906,41,7,13,2,22,2,0
ANA,20010907,33,7,10,3,23,6,0
ANA,20010908,39,4,13,1,19,3,0
ANA,20010909,30,0,4,0,4,5,0
ANA,20010910,33,1,6,0,7,0,0
ANA,20010918,30,0,3,0,3,4,0
ANA,20010919,33,0,5,0,5,4,0
ANA,20010920,36,6,12,1,16,6,1
ANA,20010921,34,8,11,2,22,6,1
ANA,20010922,32,4,9,1,14,3,0
ANA,20010923,35,2,10,0,15,3,1
ANA,20010925,38,3,11,0,11,5,0
ANA,20010926,33,1,4,0,6,8,0
ANA,20010927,32,2,5,1,9,1,0
ANA,20010928,34,2,8,0,10,4,1
ANA,20010929,38,13,13,3,28,3,0
ANA,20010930,37,6,10,1,20,4,0
ANA,20011002,31,5,6,0,7,8,0
ANA,20011003,35,3,8,0,12,2,0
ANA,20011004,29,1,3,1,7,3,0
ANA,20011005,36,2,9,0,12,3,0
ANA,20011006,34,3,6,0,7,2,0
ANA,20011007,31,2,7,2,13,5,0
ANA,20020331,31,0,5,0,6,2,0
ANA,20020402,32,7,8,0,13,4,0
ANA,20020403,36,5,11,0,13,4,1
ANA,20020405,32,3,6,1,11,2,0
ANA,20020406,36,6,9,2,18,6,0
ANA,20020408,34,4,7,0,8,5,0
ANA,20020409,29,1,4,0,5,1,1
ANA,20020410,31,1,5,0,6,1,0
ANA,20020411,36,4,10,0,11,0,2
ANA,20020412,33,1,9,0,11,1,0
ANA,20020413,31,2,4,1,7,3,0
ANA,20020414,31,4,8,1,13,1,0
ANA,20020416,36,6,10,0,13,2,0
ANA,20020417,32,1,5,0,7,3,0
ANA,20020418,34,2,7,1,12,2,1
ANA,20020419,41,9,12,0,13,6,0
ANA,20020420,36,7,10,1,17,5,0
ANA,20020421,37,5,12,0,14,3,1
ANA,20020422,32,5,8,1,11,1,2
ANA,20020423,31,0,4,0,5,2,0
ANA,20020424,42,10,16,1,23,6,0
ANA,20020426,32,4,10,0,12,5,0
ANA,20020427,37,11,10,1,15,5,0
ANA,20020428,53,8,13,2,26,2,0
ANA,20020430,49,20,22,3,33,9,1
ANA,20020501,34,7,11,0,15,4,2
ANA,20020502,39,8,15,1,20,5,1
ANA,20020503,33,6,9,2,17,5,1
ANA,20020504,31,1,5,0,8,4,1
ANA,20020505,39,8,15,0,19,5,2
ANA,20020507,33,0,5,0,6,3,0
ANA,20020508,32,3,8,2,17,0,0
ANA,20020509,31,7,11,0,14,3,3
ANA,20020510,49,19,24,5,43,6,0
ANA,20020511,35,6,12,1,19,3,0
ANA,20020512,33,5,8,1,13,6,0
ANA,20020514,41,9,14,2,26,2,1
ANA,20020515,43,10,13,2,21,1,0
ANA,20020517,38,8,11,2,18,4,0
