retroID,Y,team,W,L,G,GS,IP,SO,BAA,ERA
escok001,2007,ANA,18,7,30,30,587,160,0.248,3.4
estes001,2003,CHN,8,11,29,28,457,103,0.305,5.73
estes001,2004,COL,15,8,34,34,606,117,0.29100000000000004,5.84
estes001,2005,ARI,7,8,21,21,371,63,0.28,4.8
foggj001,2003,PIT,10,9,26,26,426,71,0.293,5.26
foggj001,2004,PIT,11,10,32,32,535,82,0.28300000000000003,4.64
foggj001,2005,PIT,6,11,34,28,508,85,0.29100000000000004,5.05
foggj001,2006,COL,11,9,31,31,516,93,0.3,5.49
foggj001,2007,COL,10,9,30,29,497,94,0.293,4.94
foggj001,2008,CIN,2,7,22,14,235,45,0.302,7.58
foppj001,2003,SFN,8,9,23,21,333,101,0.249,5.03
fossc001,2003,BOS,6,5,19,14,237,63,0.27,5.47
fossc001,2004,ARI,4,15,27,27,426,117,0.302,6.65
fossc001,2005,TBA,8,12,36,25,488,128,0.266,4.92
fossc001,2006,TBA,6,6,25,25,390,88,0.265,5.33
franr001,2003,SEA,11,13,32,32,636,99,0.251,3.57
franr001,2004,SEA,4,16,32,32,601,104,0.285,4.9
franr001,2005,SEA,8,15,32,30,572,93,0.28,5.1
franw001,2003,MIL,10,13,36,34,584,116,0.268,5.5
garcf002,2003,SEA,12,14,33,33,604,144,0.255,4.51
garcf002,2004,SEA,4,7,15,15,321,82,0.23600000000000002,3.2
garcf002,2004,CHA,9,4,16,16,309,102,0.247,4.46
garcf002,2005,CHA,14,8,33,33,684,146,0.259,3.87
garcf002,2006,CHA,17,9,33,33,649,135,0.267,4.53
garcf002,2010,CHA,12,6,28,28,471,89,0.27899999999999997,4.64
garcf002,2011,NYA,12,8,26,25,440,96,0.268,3.62
garcf002,2012,NYA,7,6,30,17,322,89,0.27,5.2
garlj001,2003,CHA,12,13,32,32,575,108,0.26,4.51
garlj001,2004,CHA,12,11,34,33,651,113,0.26899999999999996,4.89
garlj001,2005,CHA,18,10,32,32,663,115,0.255,3.5
garlj001,2006,CHA,18,7,33,32,634,112,0.294,4.51
garlj001,2007,CHA,10,13,32,32,625,98,0.27,4.23
garlj001,2008,ANA,14,8,32,32,590,90,0.303,4.9
garlj001,2009,ARI,8,11,27,27,503,83,0.28600000000000003,4.29
garlj001,2010,SDN,14,12,33,33,600,136,0.24,3.47
georc002,2003,KCA,9,6,18,18,281,39,0.309,7.11
glavt001,2003,NYN,9,14,32,32,550,82,0.28800000000000003,4.52
glavt001,2004,NYN,11,14,33,33,637,109,0.252,3.6
glavt001,2005,NYN,13,13,33,33,634,105,0.27899999999999997,3.53
glavt001,2006,NYN,15,7,32,32,594,131,0.267,3.82
glavt001,2007,NYN,13,8,34,34,601,89,0.281,4.45
glavt001,2008,ATL,2,4,13,13,190,37,0.28800000000000003,5.54
gonzj003,2003,TBA,6,11,25,25,469,97,0.228,3.91
gravd001,2003,CIN,4,15,30,26,507,60,0.298,5.33
halaj001,2003,OAK,3,5,35,13,326,51,0.268,4.22
halaj001,2004,TBA,7,6,34,14,356,59,0.284,4.7
hallr001,2003,TOR,22,7,36,36,798,204,0.247,3.25
hallr001,2004,TOR,8,8,21,21,399,95,0.272,4.2
hallr001,2005,TOR,12,4,19,19,425,108,0.225,2.41
hallr001,2006,TOR,16,5,32,32,660,132,0.251,3.19
hallr001,2007,TOR,16,7,31,31,676,139,0.268,3.71
