dt,ANA,ARI,ATL,BAL,BOS,CHA,CHN,CIN,CLE,COL,DET,HOU,KCA,LAN,MIA,MIL,MIN,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TBA,TEX,TOR,WAS
2005-05-15,1516.884153585436,1508.2095787934943,1555.5059773814219,1533.5534883079404,1548.1487728941865,1542.684678762639,1483.1799093494396,1472.7018847116474,1484.9772182401339,1460.4279291362147,1486.9527981617584,1482.558524267863,1414.6628885772693,1523.0121390714169,1522.9210180587022,1502.643854554353,1503.5251108329942,1505.2413128273483,1508.189951154142,1456.4757584136603,1480.1420569392506,1495.8938582051514,1545.112758480196,1452.453822558515,1503.7756076013748,1552.519847135446,1449.7623672663112,1519.386562499841,1488.5637095752395,1508.120139360974
2005-05-16,1522.4006970066503,1513.1485930626095,1560.8473621231715,1540.2909439755672,1537.8875618480229,1535.947223095012,1477.4946141625649,1466.2545589759911,1478.4611019797217,1455.4889148670995,1481.4362547405442,1490.0852866982539,1423.0518840208151,1517.6707543296673,1517.2767838543095,1495.7407992084325,1510.7171669119753,1510.188152133144,1503.2353872245353,1451.5289191078646,1486.5893826749068,1502.796913551072,1550.7569926845886,1462.7150336046786,1496.248845170984,1557.4744110650527,1441.3733718227654,1512.1945064208599,1495.0798258356517,1513.8054345478488
2005-05-17,1527.4635673748912,1513.1485930626095,1554.0313541714322,1540.2909439755672,1527.871641067425,1528.594959890486,1477.4946141625649,1461.0078378610012,1473.3982316114807,1455.4889148670995,1481.4362547405442,1490.0852866982539,1423.0518840208151,1511.1121425408253,1523.8353956431515,1489.8193987799643,1510.7171669119753,1515.1862493105634,1508.4821083395252,1461.5448398884625,1486.5893826749068,1502.796913551072,1557.5730006363278,1457.7169364272593,1496.248845170984,1557.4744110650527,1441.3733718227654,1519.5467696253859,1495.0798258356517,1519.726834976317
2005-05-18,1518.736513998257,1505.5898349366576,1547.748034096791,1543.154663546501,1532.1858879727376,1534.71836642912,1485.0961069399584,1456.1657722585448,1482.125284988115,1463.8223336539957,1486.5992443915982,1497.6440448242058,1420.1881644498812,1518.2136025979435,1516.7339355860333,1497.4759664785747,1503.5674414498594,1519.8227756310052,1513.3241739419816,1457.2305929831498,1495.8900536420592,1495.1954207736785,1563.8563207109692,1453.0804101068175,1487.9154263840878,1548.1737400979002,1436.2103821717114,1513.423363086752,1502.2295512977676,1512.0702672777065
2005-05-19,1524.0181702799557,1511.930040244462,1541.9503886140476,1545.8767584944353,1522.6124743176133,1540.3676784721745,1492.158409363648,1451.6834753600278,1476.8436287064162,1458.0156357738872,1491.3747672817435,1491.3038395164015,1417.466069501947,1511.596961463712,1523.3505767202648,1491.4168198617888,1510.1083414148266,1510.48711290623,1517.8064708404986,1466.8040066382741,1491.1726084420877,1488.133118349989,1569.6539661937124,1462.4160728315926,1493.7221242641963,1552.8911852978717,1431.434859281566,1507.7740510436975,1495.6886513328004,1518.1294138944925
2005-05-20,1524.0181702799557,1517.8312555994905,1541.9503886140476,1534.435275076815,1522.6124743176133,1540.3676784721745,1492.158409363648,1451.6834753600278,1476.8436287064162,1466.239114165006,1482.48829378848,1485.4026241613728,1428.9075529195673,1511.596961463712,1523.3505767202648,1485.8347491771674,1516.1459865405607,1510.48711290623,1517.8064708404986,1466.8040066382741,1500.156831607092,1488.133118349989,1569.6539661937124,1462.4160728315926,1485.4986458730775,1543.9069621328674,1440.3213327748297,1507.7740510436975,1489.6510062070663,1523.7114845791139
2005-05-21,1530.1432361736192,1523.1689328918042,1534.7187538009866,1526.709113680312,1529.8441091306743,1545.2314296035995,1487.294658232223,1459.5465549845226,1468.9805490819215,1460.3676612693841,1477.1506164961663,1479.6597417346463,1426.005649393391,1505.4718955700484,1526.9821564636168,1480.4424074737608,1521.5383282439673,1517.312527366595,1510.9810563801336,1474.2574060964403,1507.8829930035952,1494.0045712456108,1572.692540708684,1459.377498316621,1478.0452464149114,1546.8088656590437,1436.6897530314777,1513.516933470424,1497.5757989932063,1515.786691792974
2005-05-22,1535.8316038475275,1514.7322814252004,1541.0164203199802,1532.5121654753084,1523.5464426116807,1549.7648153740306,1482.7612724617918,1453.0999505118236,1475.4271535546204,1454.959757274813,1485.58726796277,1474.3662367701716,1423.2512672864127,1499.7835278961402,1530.3904250547605,1488.4464346112381,1513.53430110649,1510.4667960900574,1517.826787656671,1467.6392129412257,1502.0799412085987,1499.412475240182,1562.0546607858566,1470.0153782394484,1484.663439570126,1549.563247766022,1433.281484440334,1518.8104384348987,1504.8703347068597,1508.4921560793205
2005-05-23,1527.8239288076657,1520.2831201372423,1533.8792521299415,1524.9515826242985,1530.6836108017194,1540.596791698044,1491.9292961377785,1447.1285868833256,1481.3985171831184,1463.2910072272796,1480.0364292507281,1469.4646927034928,1434.52394444643,1507.791202936002,1533.5976953276445,1482.8370102999725,1519.1437254177556,1517.3205824240626,1510.9730013226658,1461.5616523743809,1509.6405240596087,1491.0812252877154,1552.0328752999578,1480.0371637253472,1490.7410001369708,1538.2905706060046,1430.07421416745,1523.7119825015775,1498.4533140840485,1514.9091767021316
2005-05-24,1534.8152501606774,1520.2831201372423,1539.5219019903009,1524.9515826242985,1530.6836108017194,1533.6054703450322,1497.7292323193174,1456.5864538416818,1489.5434728817525,1457.3208970686135,1480.0364292507281,1463.664756521954,1434.52394444643,1507.791202936002,1539.224719432953,1488.8071204586386,1510.9987697191216,1517.3205824240626,1505.3303514623065,1461.5616523743809,1504.0134999543002,1486.309541803407,1552.0328752999578,1480.0371637253472,1490.7410001369708,1543.062254090313,1430.07421416745,1523.7119825015775,1498.4533140840485,1505.4513097437755
